start,end,speed_mean,speed_max,jitter_mean,jitter_p90,rot_abs_mean,zoom,sharp_mean,sharp_min,bright,contrast,framediff,ntrack
77.0,78.0,7.69,9.23,0.165,0.291,0.122,0.9808,492.0,414.7,126.6,64.1,12.23,364
78.0,79.0,12.14,16.04,0.735,1.245,0.222,1.0746,494.1,381.7,119.0,62.5,15.37,349
79.0,80.0,17.49,21.91,1.356,2.482,0.303,1.0177,362.4,303.2,112.5,59.5,21.17,290
80.0,81.0,11.38,14.05,0.779,1.177,0.189,1.0269,332.7,269.4,92.0,64.9,20.76,334
81.0,82.0,6.82,8.24,0.182,0.302,0.088,0.9759,331.5,256.0,89.4,61.0,13.98,387
82.0,83.0,4.41,5.37,0.11,0.242,0.06,0.9985,528.8,400.1,111.0,67.9,13.54,394
83.0,84.0,4.71,6.06,0.153,0.284,0.045,1.0175,586.1,541.0,117.5,68.8,15.4,384
84.0,85.0,4.08,5.46,0.187,0.387,0.045,1.021,581.2,514.9,130.8,65.8,12.71,387
85.0,86.0,3.26,4.63,0.255,0.399,0.042,1.1342,558.3,456.4,125.3,63.9,10.76,391
86.0,87.0,5.02,6.74,0.39,0.652,0.045,1.2806,328.0,170.9,110.2,66.8,11.34,345
87.0,88.0,6.7,8.91,0.756,1.773,0.047,1.5178,146.7,118.6,101.6,68.5,8.13,270
88.0,89.0,6.94,8.63,1.126,1.585,0.047,1.5501,149.3,118.7,92.0,65.1,7.07,250
89.0,90.0,7.53,10.02,1.566,2.912,0.239,1.5311,130.9,38.9,85.1,55.0,7.59,129
90.0,91.0,4.33,5.97,0.554,0.978,0.109,1.1105,59.2,41.6,93.8,52.7,5.03,128
91.0,92.0,3.32,4.47,0.619,1.1,0.081,1.2007,78.2,67.1,105.7,54.4,4.5,97
92.0,93.0,2.37,4.65,0.363,0.702,0.017,1.1663,110.3,76.0,112.3,48.6,2.58,95
93.0,94.0,3.95,6.75,0.775,1.14,0.018,1.3322,81.3,33.0,120.5,48.9,2.87,84
94.0,95.0,5.72,7.55,0.898,1.976,0.039,1.4671,240.2,141.5,110.3,53.1,4.47,162
95.0,96.0,7.15,9.68,1.107,2.05,0.051,1.6225,115.9,56.3,102.1,48.9,6.49,147
96.0,97.0,3.62,4.17,0.336,0.505,0.044,1.2432,62.4,40.4,118.2,39.4,3.66,64
97.0,98.0,5.55,8.34,0.473,0.938,0.074,1.3173,64.1,37.1,132.1,37.9,3.45,62
98.0,99.0,12.82,19.15,1.044,2.366,0.288,1.3294,36.2,15.2,134.2,46.4,6.81,92
99.0,100.0,13.45,23.44,1.794,3.192,0.478,1.2565,51.3,14.3,128.0,50.2,6.12,306
100.0,101.0,6.61,8.38,0.709,1.299,0.129,1.1929,137.3,82.7,115.6,43.9,7.51,379
101.0,102.0,5.28,8.73,0.579,0.809,0.031,1.273,153.5,107.4,135.7,34.6,6.52,380
102.0,103.0,7.44,9.66,0.454,0.698,0.204,1.2853,149.1,85.6,138.9,32.9,7.15,384
103.0,104.0,5.0,6.26,0.244,0.565,0.124,1.2753,193.0,131.8,132.4,35.1,6.07,396
104.0,105.0,5.45,6.88,0.408,0.768,0.112,1.3545,218.1,163.1,130.6,36.6,6.02,393
105.0,106.0,6.27,8.04,0.787,1.416,0.069,1.3313,193.3,146.9,128.3,41.1,8.07,392
106.0,107.0,27.05,46.95,6.59,17.901,0.827,1.2627,66.7,1.2,132.2,32.5,7.62,233
107.0,108.0,11.4,27.41,3.384,10.836,0.301,0.9083,25.7,1.7,105.0,40.1,9.33,253
108.0,109.0,7.28,9.51,0.603,1.428,0.184,1.2497,62.2,44.0,122.8,33.3,6.44,379
109.0,110.0,15.64,28.61,1.757,3.661,0.532,1.3709,23.4,5.9,133.7,29.1,4.64,257
110.0,111.0,13.51,33.7,3.945,10.416,0.427,1.0115,10.2,4.6,123.8,26.2,4.17,92
111.0,112.0,8.49,13.54,2.505,4.246,0.073,0.9516,5.7,2.9,125.0,23.0,2.73,51
112.0,113.0,7.76,18.16,2.5,5.251,0.053,0.9468,6.9,2.9,134.8,26.1,2.4,90
113.0,114.0,19.84,41.46,4.571,9.428,0.443,1.0845,7.8,0.8,147.4,30.0,6.93,182
114.0,115.0,10.16,42.52,5.362,11.815,0.145,1.1493,0.8,0.6,148.9,8.9,2.14,61
115.0,116.0,2.4,14.92,1.833,5.629,0.029,0.9976,1.2,0.8,144.2,11.6,0.8,102
116.0,117.0,11.3,13.16,0.903,1.766,0.094,1.1345,10.2,3.1,148.7,39.1,3.73,63
117.0,118.0,5.19,7.27,0.848,2.03,0.066,0.8628,38.4,23.1,140.4,39.2,3.84,250
118.0,119.0,5.62,6.87,0.456,0.765,0.069,0.8156,88.7,65.6,132.1,41.1,6.64,390
