frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
236,7.886,-6.591,-0.138,-0.1701,1.0028,106,4.365,83.6,125.03,35.67
237,7.92,-6.644,-0.209,-0.1731,1.0031,102,4.468,79.67,125.69,35.44
238,7.953,-6.788,0.356,-0.1697,1.0015,106,4.612,76.49,126.59,35.19
239,7.986,-6.715,-0.068,-0.1232,1.0023,79,3.893,73.03,126.48,34.94
240,8.02,-6.922,0.134,-0.166,1.0021,79,4.758,74.28,126.68,34.82
241,8.053,-7.261,0.175,-0.1921,1.002,79,3.838,66.66,126.86,34.7
242,8.087,-7.382,0.411,-0.2178,1.0017,78,3.733,62.58,126.62,34.5
243,8.12,-7.512,0.697,-0.2176,1.0012,67,3.742,59.27,126.39,34.22
244,8.153,-7.584,0.675,-0.2092,1.0014,68,4.137,53.57,127.16,33.84
245,8.187,-7.419,0.599,-0.1505,1.0014,49,3.867,50.34,127.54,33.35
246,8.22,-7.51,0.657,-0.1709,1.0011,57,4.09,47.96,128.45,32.86
247,8.254,-8.119,0.502,-0.2499,1.0017,50,3.91,49.39,128.77,32.39
248,8.287,-8.375,0.183,-0.2992,1.0026,45,3.756,44.95,129.09,31.74
249,8.321,-7.48,0.679,-0.1796,1.0017,55,3.21,44.12,129.05,31.21
250,8.354,-7.26,0.785,-0.1484,1.001,50,3.248,40.87,129.24,30.58
251,8.387,-7.395,0.624,-0.1621,1.0015,44,3.746,46.67,130.04,30.04
252,8.421,-7.372,0.989,-0.172,1.0004,41,3.167,43.62,130.34,29.5
253,8.454,-7.844,1.664,-0.2606,1.0004,54,3.018,39.82,130.54,29.01
254,8.488,-7.42,1.411,-0.1908,0.9997,60,3.023,35.59,131.03,28.52
255,8.521,-8.086,2.124,-0.2899,0.9996,63,2.972,33.5,131.72,27.91
256,8.554,-7.961,2.661,-0.3078,0.9984,54,2.653,29.62,132.08,27.48
257,8.588,-8.896,1.843,-0.2975,1.0013,58,2.416,29.04,132.3,27.17
258,8.621,-7.046,3.791,-0.3438,0.9957,69,2.134,28.28,132.47,26.94
259,8.655,-7.09,3.569,-0.3272,0.9956,71,2.02,26.39,132.61,26.72
260,8.688,-8.111,3.403,-0.362,0.9965,70,1.927,24.89,132.83,26.49
261,8.721,-7.559,3.934,-0.3618,0.9947,84,1.913,24.47,133.01,26.21
262,8.755,-8.474,3.955,-0.4123,0.9956,80,2.829,22.83,134.64,26.28
263,8.788,-8.74,4.144,-0.4287,0.9952,96,1.816,19.28,135.11,26.05
264,8.822,-8.657,5.017,-0.4981,0.9938,83,2.384,18.39,136.29,25.91
265,8.855,-9.092,3.592,-0.4063,0.9955,86,2.492,17.32,137.43,26.07
266,8.889,-8.535,4.458,-0.4328,0.9936,101,2.386,16.93,138.13,26.45
267,8.922,-8.052,3.312,-0.315,0.9938,85,2.347,15.79,138.62,26.87
268,8.955,-8.764,3.439,-0.3722,0.9947,105,2.549,15.98,139.02,27.48
269,8.989,-8.533,3.294,-0.3425,0.9944,99,2.337,17.34,138.68,28.07
270,9.022,-8.736,3.197,-0.3537,0.9945,108,2.671,18.15,138.21,28.66
271,9.056,-8.876,2.954,-0.3902,0.9959,105,2.755,21.54,137.82,29.08
272,9.089,-8.731,3.33,-0.3315,0.9942,96,3.593,23.45,137.56,29.7
273,9.122,-8.941,3.161,-0.3196,0.9945,108,4.371,25.57,136.62,30.32
274,9.156,-9.089,3.386,-0.3287,0.9942,119,4.824,27.16,136.3,31.48
275,9.189,-9.394,2.876,-0.3086,0.9954,125,5.483,27.82,136.18,33.0
276,9.223,-9.335,3.298,-0.3448,0.9946,135,6.153,29.53,136.66,34.73
277,9.256,-9.315,3.023,-0.3141,0.9954,122,6.461,29.28,136.91,36.55
278,9.29,-9.23,2.88,-0.3009,0.9953,147,7.229,30.9,137.53,38.67
279,9.323,-9.654,2.456,-0.3075,0.9962,134,8.286,38.25,139.04,41.3
280,9.356,-8.694,2.909,-0.285,0.9945,149,8.01,43.73,138.64,43.71
281,9.39,-9.08,2.8,-0.2927,0.9953,159,8.375,48.22,137.78,45.89
282,9.423,-9.435,2.242,-0.2883,0.9967,137,9.833,51.97,135.04,47.73
283,9.457,-8.843,2.454,-0.2372,0.995,151,9.272,55.08,133.09,49.48
284,9.49,-9.613,2.808,-0.3052,0.9957,163,9.305,57.84,131.82,50.52
285,9.523,-9.955,2.474,-0.2967,0.9961,178,10.131,63.13,129.79,51.43
286,9.557,-10.34,2.53,-0.313,0.9966,187,10.583,65.25,127.35,51.81
287,9.59,-10.002,2.476,-0.2655,0.9962,110,10.619,63.38,124.73,52.03
288,9.624,-10.328,2.215,-0.2671,0.9968,116,10.393,63.11,122.47,52.22
289,9.657,-10.47,2.16,-0.2816,0.9971,117,10.149,63.85,120.47,52.46
290,9.691,-10.412,2.585,-0.3038,0.9969,118,9.932,60.93,118.6,52.71
291,9.724,-10.465,1.951,-0.2818,0.9978,110,9.934,60.51,116.97,52.9
292,9.757,-10.199,2.042,-0.2643,0.9971,120,9.843,59.95,115.56,53.25
293,9.791,-10.318,1.795,-0.2768,0.998,122,9.666,60.21,114.38,53.57
294,9.824,-10.051,1.291,-0.2516,0.9988,114,9.31,59.37,113.02,53.82
295,9.858,-9.877,1.368,-0.2405,0.9986,132,9.204,60.06,111.93,54.03
296,9.891,-9.575,1.324,-0.2342,0.9985,128,8.904,58.47,110.88,54.01
297,9.924,-9.373,1.128,-0.2391,0.9989,124,8.684,59.07,110.03,54.06
298,9.958,-9.024,1.065,-0.2129,0.9987,127,8.561,61.29,109.47,54.08
299,9.991,-9.744,0.357,-0.2576,1.0001,87,9.449,62.98,110.38,53.36
